round,mesocosm,plantsp,leaf,trt,den,height,stems,nm_leaves,1total_w,1total_h,nm_dmged,cons_area,sp,stage,body_lg,sex,vial_weight,poo_weight,Notes
4,3,grass,,u,,,,,,,1,0.154,ach,,28.33,,,,
4,3,grass,,u,,,,,,,1,1.401,ach,,28.33,,,,
4,4,grass,,b,,,,,,,0,0,ach,,27.56,m,1.1246,1.1246,
4,4,grass,,b,,,,,,,0,0,ach,,27.56,,,,
4,4,grass,,u,,,,,,,0,0,ach,,27.56,,,,
4,4,grass,,u,,,,,,,0,0,ach,,27.56,,,,
4,5,grass,,b,,,,,,,0,0,ach,,25.5,m,1.1174,1.1174,
4,5,grass,,b,,,,,,,0,0,ach,,25.5,,,,
4,5,grass,,u,,,,,,,0,0,ach,,25.5,,,,
4,5,grass,,u,,,,,,,0,0,ach,,25.5,,,,
4,6,grass,,b,,,,,,,1,0.447,ach,,28.26,m,1.1092,1.1263,
4,6,grass,,b,,,,,,,1,2.524,ach,,28.26,,,,
4,6,grass,,u,,,,,,,0,0,ach,,28.26,,,,
4,6,grass,,u,,,,,,,1,2.309,ach,,28.26,,,,
4,7,grass,,b,,,,,,,1,0.667,ach,,23.22,m,1.1091,1.1191,
4,7,grass,,b,,,,,,,1,1.017,ach,,23.22,,,,
4,7,grass,,u,,,,,,,1,1.088,ach,,23.22,,,,
4,7,grass,,u,,,,,,,0,0,ach,,23.22,,,,
4,8,grass,,b,,,,,,,1,0.939,ach,,23.62,m,1.1247,1.1341,
4,8,grass,,b,,,,,,,1,0.812,ach,,23.62,,,,
4,8,grass,,u,,,,,,,0,0,ach,,23.62,,,,
4,8,grass,,u,,,,,,,0,0,ach,,23.62,,,,
4,9,grass,,b,,,,,,,1,3.652,ach,,29.26,m,1.1247,1.1435,
4,9,grass,,b,,,,,,,1,1.46,ach,,29.26,,,,
4,9,grass,,u,,,,,,,1,0.874,ach,,29.26,,,,
4,9,grass,,u,,,,,,,1,0.716,ach,,29.26,,,,
4,10,grass,,b,,,,,,,0,0,ach,,24.58,m,1.1248,1.1248,
4,10,grass,,b,,,,,,,0,0,ach,,24.58,,,,
4,10,grass,,u,,,,,,,0,0,ach,,24.58,,,,
4,10,grass,,u,,,,,,,0,0,ach,,24.58,,,,
4,11,grass,,b,,,,,,,1,3.027,ach,,26.39,m,1.1041,1.1218,
4,11,grass,,b,,,,,,,1,1.539,ach,,26.39,,,,
4,11,grass,,u,,,,,,,1,0.3,ach,,26.39,,,,
4,11,grass,,u,,,,,,,0,0,ach,,26.39,,,,
4,12,grass,,b,,,,,,,1,1.438,ach,,28.24,m,1.1038,1.1153,
4,12,grass,,b,,,,,,,0,0,ach,,28.24,,,,
4,12,grass,,u,,,,,,,0,0,ach,,28.24,,,,
4,12,grass,,u,,,,,,,1,1.496,ach,,28.24,,,,
4,13,grass,,b,,,,,,,1,0.909,ach,,27.6,m,1.1175,1.1274,
4,13,grass,,b,,,,,,,1,0.462,ach,,27.6,,,,
4,13,grass,,u,,,,,,,1,1.973,ach,,27.6,,,,
4,13,grass,,u,,,,,,,1,0.054,ach,,27.6,,,,
4,14,grass,,b,,,,,,,1,0.62,ach,,26.51,m,1.1167,1.1432,
4,14,grass,,b,,,,,,,1,1.055,ach,,26.51,,,,
4,14,grass,,u,,,,,,,1,0.456,ach,,26.51,,,,
