strip,round,cage,b_u,plant ,perc,height ,bare,notes 
2,2,20,u,bb,2,5,,
2,2,20,u,silky,1,15,,
2,2,20,u,dog ,0,0,,
2,2,20,u,other ,2,,,
2,2,21,u,wide ,12,29,8,
2,2,21,u,cent ,30,64,,
2,2,21,u,dican ,0,0,,
2,2,21,u,bb,8,5,,
2,2,21,u,silky,1,26,,eaten
2,2,21,u,dog ,0,0,,
2,2,21,u,other ,3,,,opuntia
2,2,22,u,wide ,10,43,5,
2,2,22,u,cent ,30,53,,a lot kind of dry
2,2,22,u,dican ,0,0,,
2,2,22,u,bb,3,6,,
2,2,22,u,silky,0,0,,
2,2,22,u,dog ,0,0,,
2,2,22,u,other ,2,,,forb
2,2,23,u,wide ,0,0,50,
2,2,23,u,cent ,20,59,,
2,2,23,u,dican ,1,25,,
2,2,23,u,bb,0,0,,
2,2,23,u,silky,0,0,,
2,2,23,u,dog ,0,0,,
2,2,23,u,other ,2,,,forb
2,2,24,u,wide ,0,0,5,
2,2,24,u,cent ,55,80,,
2,2,24,u,dican ,0,0,,
2,2,24,u,bb,0,0,,
2,2,24,u,silky,0,0,,
2,2,24,u,dog ,0,0,,
2,2,24,u,other ,1,,,forb
3,2,25,b,wide ,0,0,55,following data collected 9/22
3,2,25,b,cent ,2,18,,
3,2,25,b,dican ,0,0,,
3,2,25,b,bb,1,5,,
3,2,25,b,silky,0,0,,
3,2,25,b,dog ,0,0,,
3,2,25,b,other ,6,,,fab
3,2,26,b,wide ,0,0,60,
3,2,26,b,cent ,7,11,,
3,2,26,b,dican ,0,0,,
3,2,26,b,bb,3,5,,
3,2,26,b,silky,0,0,,
3,2,26,b,dog ,0,0,,
3,2,26,b,other ,8,42,,fab
3,2,27,b,wide ,0,0,5,
3,2,27,b,cent ,7,15,,
3,2,27,b,dican ,0,0,,
3,2,27,b,bb,5,5,,
3,2,27,b,silky,6,32,,
3,2,27,b,dog ,0,0,,
3,2,27,b,other ,0,0,,
3,2,28,b,wide ,0,0,,
3,2,28,b,cent ,5,14,,
3,2,28,b,dican ,0,0,,
3,2,28,b,bb,5,7,,
3,2,28,b,silky,3,28,,
3,2,28,b,dog ,0,0,,
3,2,28,b,other ,2,,,forb
3,2,29,b,wide ,0,0,,
3,2,29,b,cent ,4,14,,
3,2,29,b,dican ,0,0,,
3,2,29,b,bb,2,6,,
3,2,29,b,silky,12,38,,
3,2,29,b,dog ,0,0,,
3,2,29,b,other ,1,,,forb
3,2,30,b,wide ,7,20,,
3,2,30,b,cent ,0,0,,
3,2,30,b,dican ,0,0,,
3,2,30,b,bb,3,6,,
3,2,30,b,silky,2,36,,
3,2,30,b,dog ,0,0,,
3,2,30,b,other ,2,,,forb
3,2,31,b,wide ,0,0,40,
3,2,31,b,cent ,20,67,,
3,2,31,b,dican ,0,0,,
3,2,31,b,bb,0,0,,
3,2,31,b,silky,0,0,,
3,2,31,b,dog ,0,0,,
3,2,31,b,other ,2,,,forb
3,2,32,b,wide ,25,34,10,
