num,strip ,block ,cage ,trt,sp,ind,date,type,round,length,width,sex ,color,stage ,alive,notes
,3,5,28,apt_low,apt,6,6/27/2025,stock,1 ,20.11,3.2,u,G,,1,
,3,5,29,ach_high,ach,1,6/27/2025,stock,1 ,21.65,1.12,m,B,,1,
,3,5,29,ach_high,ach,2,6/27/2025,stock,1 ,24.49,1.24,m,B,,1,
,3,5,29,ach_high,ach,3,6/27/2025,stock,1 ,27.98,1.63,m,B,,1,
,3,5,29,ach_high,ach,4,6/27/2025,stock,1 ,11.58,0.82,f,G,,1,
,3,5,29,ach_high,ach,5,6/27/2025,stock,1 ,22.87,1.41,f,Y-B,,1,
,3,5,29,ach_high,ach,6,6/27/2025,stock,1 ,30.47,1.64,f,B-Blstr,,1,
,3,5,29,ach_high,ach,7,6/27/2025,stock,1 ,30.73,2.17,f,OB,,1,
,3,5,29,ach_high,ach,8,6/27/2025,stock,1 ,23.26,1.59,f,Y,,1,
,3,5,29,ach_high,ach,9,6/27/2025,stock,1 ,18.91,1.52,f,LB,,1,
,3,5,30,ach_66,apt,1,6/27/2025,stock,1 ,9.79,1.4,u,G,,1,
,3,5,30,ach_66,apt,2,6/27/2025,stock,1 ,10.76,1.51,u,G,,1,
,3,5,30,ach_66,apt,3,6/27/2025,stock,1 ,15.39,2.03,u,G,,1,
,3,5,30,ach_66,ach,1,6/27/2025,stock,1 ,28.29,2.02,f,G-Tstr,,1,
,3,5,30,ach_66,ach,2,6/27/2025,stock,1 ,29.52,1.65,m,B,,1,
,3,5,30,ach_66,ach,3,6/27/2025,stock,1 ,31.81,2.11,m,B,,1,
,3,5,30,ach_66,ach,4,6/27/2025,stock,1 ,23.89,1.3,m,B,,1,
,3,5,30,ach_66,ach,5,6/27/2025,stock,1 ,27.57,1.83,m,B,,1,
,3,5,30,ach_66,ach,6,6/27/2025,stock,1 ,13.48,0.94,f?,Green-B,,1,
,3,6,31,ach_low,ach,1,6/27/2025,stock,1 ,27.78,1.88,m,LB,,1,
,3,6,31,ach_low,ach,2,6/27/2025,stock,1 ,37.92,2.11,f,G-Tstr,,1,
,3,6,31,ach_low,ach,3,6/27/2025,stock,1 ,35.69,2.54,f,LB,,1,
,3,6,31,ach_low,ach,4,6/27/2025,stock,1 ,28.25,1.65,m,G+LB,,1,
,3,6,31,ach_low,ach,5,6/27/2025,stock,1 ,31,1.68,m,DB,,1,
,3,6,31,ach_low,ach,6,6/27/2025,stock,1 ,29.79,1.37,m,B,,1,
,3,6,32,ach_66,apt,1,6/27/2025,stock,1 ,11.02,1.38,u,G,,1,
,3,6,32,ach_66,apt,2,6/27/2025,stock,1 ,10.61,1.5,u,G,,1,
,3,6,32,ach_66,apt,3,6/27/2025,stock,1 ,13.05,1.9,u,G,,1,
,3,6,32,ach_66,ach,1,6/27/2025,stock,1 ,29.54,1.67,f,G-Tstr,,1,
,3,6,32,ach_66,ach,2,6/27/2025,stock,1 ,27.88,1.08,m,B-LBstr,,1,
,3,6,32,ach_66,ach,3,6/27/2025,stock,1 ,30.54,2.23,f,LB,,1,
,3,6,32,ach_66,ach,4,6/27/2025,stock,1 ,21.02,1.4,m,LGreen,,1,
,3,6,32,ach_66,ach,5,6/27/2025,stock,1 ,10.63,1.34,f?,LG-Tstr,,1,
,3,6,32,ach_66,ach,6,6/27/2025,stock,1 ,28.46,0.96,m,DB-Tstr,,1,
,3,6,33,ach_high,ach,1,6/27/2025,stock,1 ,12.12,1.17,f?,LG/B,,1,
,3,6,33,ach_high,ach,2,6/27/2025,stock,1 ,27.97,1.94,f,LB,,1,
,3,6,33,ach_high,ach,3,6/27/2025,stock,1 ,25.97,1.73,f,LG-Tstr,,1,
,3,6,33,ach_high,ach,4,6/27/2025,stock,1 ,20.32,1.33,f?,LB,,1,
,3,6,33,ach_high,ach,5,6/27/2025,stock,1 ,32.69,1.94,f,LB,,1,
,3,6,33,ach_high,ach,6,6/27/2025,stock,1 ,31.7,1.55,m,B-Gstr,,1,
